,name,hall_vibe,catering,parking_facility,transport_access,bridal_room,guest_flow,pricing_detail,service_etc,disadvantage,in_guarantee
0,신사 더컨벤션 단독홀,"꽉찬 육각형 홀과 어두운 홀에 높은 층고, 신식 건물로 외관이 고급스러움","16만원, 후기가 좋음",건물 내 주차 가능,신사역 도보 5분,신부대기실에서 웨딩홀로 바로 입장,하객 동선이 복잡할 가능성 있음,"1650만원, 모든 비용 일체 포함 전문 사회자 포함",당일 계약으로 혼주 식사가 무료(타사와 차이 없음),"높은 견적, 좁은 로비로 하객 동선 복잡함",200
1,반포 더컨벤션 단독홀,"어두운 홀, 단독홀, 신부 대기실 넓고 예쁨","11만원, 맛있기로 유명함",외부 주차장 이용 시 셔틀 타거나 도보 10분 필요,엘리베이터 내리면 직관적으로 홀과 신부 대기실이 보임,신부 대기실에서 입장이 아닌 로비 입장,연회장 이동 동선이 복잡함,"1100만원, 강남에서 고가에 속하지 않음",None,"연회장 이동 동선 불편, 약간 노후화된 외관",200
2,서울 웨스틴 파르나스 호텔 - 아틀라스 홀,"5성급 호텔, 층고가 낮은 홀, 전체적인 분위기와 플라워 디자인이 중요함","18만5천원, 대관료 220만원, 다양한 할인 혜택 포함",하객 무료주차 4시간,코엑스와 가까워 대중교통 접근성 좋음,신부대기실 플라워 디자인 자유롭게 결정 가능,"복잡하지 않음, ㄱ자 입장이 아닌 1자로 입장",할인으로 비용 부담 덜어짐,"다양한 서비스 제공, 샵에서 픽업 서비스",층고가 낮고 같은 층에 다른 웨딩홀이 있음,120
3,선릉 상록 아트홀,"어두운 홀 중에서 크고 넓음, 홀은 예쁨","식대 9.5만원, 뷔페식으로 top tier",None,"선릉역 도보 5분, 셔틀버스 수시 운행",None,로비가 좁아 하객 동선 복잡할 수 있음,"토요일 950만원, 일요일 850만원, 정찰제 느낌 강함",음향이 굉장히 좋음,"공무원 할인 외에 할인이 없음, 신부가 덜 주목받는 버진로드",250 (토요일 기준)
4,서울 강남 셀럽 엔 어셈,"무난한 분위기, 밝은 홀과 어두운 홀 모두 사용 가능, 생화 장식이 예쁨","97,000원, 음식 맛있음",None,None,None,"로비가 넓어 하객 붐비지 않음, 층고는 낮아 답답함","10월 10일: 30,765,000원, 10월 11일: 29,765,000원","친절한 안내, 음식 극찬","측면에서 입장해야 하는 점, 생화 향기가 강해 머리가 아팠음",250
5,강서 더퍼스트클래스파티,화이트 대리석 인테리어로 깔끔하고 통창이 있어 채광이 좋음,"성인 61,000원, 웨딩패키지 170만원, 음식이 깔끔하고 맛있어 보임","넓은 지하주차장, 주차장에서 식장까지 편하게 이동 가능",일산과 가까워 접근성이 좋음,None,홀 앞에 뷔페가 있어 하객들이 편리하게 이용 가능,None,"친절하고 자세한 상담, 계약 절차가 간편함","음료, 주류, 몇 가지 음식이 복도로 가야 하여 하객들에게 미리 안내 필요",60
6,천안 비렌티,"밝은 홀과 높은 층고, 넓은 공간","정가 식대 69,000원, 할인가 53,000~57,000원",1700대 수용 가능한 넓은 주차장,"천안터미널과 두정역에서 셔틀버스 운행, 자차 이용 시 천안 IC와 근접",신부대기실이 가장 큰 홀,하객 동선이 자유롭고 편리함,"대관료 5,900,000원, 합리적인 가격으로 느껴짐","상담 직원이 친절하고 상세하게 설명해줌, 상담 당일 할인 및 현장 할인 혜택 제공",대중교통 접근성이 좋지 않음,150
7,삼성 노블발렌티,"클래식한 채플홀, 고급스러움, 적당한 밝기, 층고 높음","10만원, 비수기 가격에 낮은 견적","내부와 외부 주차 가능, 직원들이 잘 관리","봉은사역 도보 6-7분, 지방 하객 편리",None,"여유로운 식 간격, 복잡하지 않음","대관료 1300만원, 비수기 가격으로 낮아짐","친절하고 전문적인 상담, 웨딩홀 상담 중 최고","코스요리로 인한 걱정, 하지만 맛있다는 후기가 많음",250
8,영등포 더베르G (더베르지),"넓고 깨끗한 단독홀, 생화 가득한 웨딩홀 분위기","11만원, 대관료 600만원, 플라워 디렉팅 1000만원","넓은 주차장, 주차 문제 없음","영등포 구청(2, 5호선) 및 영등포 시장(5호선) 도보 가능, 셔틀버스 운영",신부 대기실과 통로가 넓고 깨끗함,"하객 동선 간결, 단독홀로 겹치지 않음","대관료 600만원, 식대 11만원, 합리적 가격","직원 친절, 전문성 높음, 홀 투어 시 충분한 시간 제공",여름철 꽃 관리 및 에어컨 온도 제한 우려,200
9,dmc타워웨딩 펠리체홀,"차분하고 안정적인 분위기, 신뢰감 있는 상담","정가식대 88,000원, 대관료 1,700만원",None,대중교통 접근성이 좋음,None,None,"가격대가 예상보다 높음, 그러나 항목별 설명이 명확함","상담이 편하고 신뢰감이 높음, 운영 방식에 대한 설명이 좋음","가격대가 높고, 예식 당일 분주할 가능성",200
